TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/10/24
TIME,12:19:52
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  999.9351
LASTX, 4000.0857
NPOINTS,    5264
XYDATA
999.9351,2491
1000.7448,2519
1001.5543,2511
1002.3637,2495
1003.1730,2513
1003.9821,2498
1004.7911,2525
1005.5999,2532
1006.4086,2529
1007.2171,2532
1008.0255,2512
1008.8337,2562
1009.6418,2550
1010.4497,2550
1011.2575,2562
1012.0651,2549
1012.8726,2584
1013.6799,2555
1014.4871,2550
1015.2941,2579
1016.1010,2567
1016.9078,2574
1017.7144,2597
1018.5208,2584
1019.3271,2587
1020.1332,2573
1020.9392,2617
1021.7451,2599
1022.5508,2597
1023.3563,2603
1024.1617,2624
1024.9669,2611
1025.7721,2630
1026.5770,2640
1027.3818,2610
1028.1865,2641
1028.9910,2632
1029.7954,2672
1030.5996,2638
1031.4037,2677
1032.2075,2689
1033.0114,2671
1033.8149,2686
1034.6184,2674
1035.4218,2689
1036.2250,2708
1037.0280,2684
1037.8308,2680
1038.6335,2683
1039.4362,2699
1040.2386,2753
1041.0409,2757
1041.8430,2722
1042.6450,2710
1043.4469,2736
1044.2487,2739
1045.0502,2732
1045.8516,2755
1046.6528,2764
1047.4540,2763
1048.2549,2764
1049.0557,2802
1049.8564,2817
1050.6569,2798
1051.4573,2775
1052.2576,2804
1053.0576,2809
1053.8575,2788
1054.6573,2785
1055.4569,2855
1056.2565,2834
1057.0558,2819
1057.8550,2874
1058.6541,2848
1059.4529,2848
1060.2517,2838
1061.0503,2862
1061.8488,2855
1062.6471,2853
1063.4452,2873
1064.2433,2884
1065.0411,2914
1065.8389,2913
1066.6365,2889
1067.4338,2895
1068.2312,2861
1069.0283,2906
1069.8253,2891
1070.6222,2951
1071.4188,2908
1072.2155,2928
1073.0118,2936
1073.8081,2930
1074.6042,2970
1075.4001,2973
1076.1959,2958
1076.9917,2937
1077.7872,2994
1078.5825,3010
1079.3778,2993
1080.1729,2972
1080.9679,2980
1081.7627,2972
1082.5573,3008
1083.3518,3055
1084.1461,3018
1084.9403,3005
1085.7344,3017
1086.5283,3032
1087.3221,3038
1088.1157,3033
1088.9093,3050
1089.7026,3028
1090.4957,3072
1091.2888,3056
1092.0817,3060
1092.8745,3046
1093.6671,3036
1094.4596,3041
1095.2518,3061
1096.0441,3096
1096.8361,3071
1097.6279,3075
1098.4197,3097
1099.2113,3125
1100.0027,3070
1100.7939,3101
1101.5852,3100
1102.3762,3124
1103.1670,3127
1103.9578,3103
1104.7483,3097
1105.5387,3117
1106.3290,3142
1107.1191,3124
1107.9092,3182
1108.6990,3149
1109.4886,3183
1110.2782,3177
1111.0676,3156
1111.8569,3191
1112.6460,3134
1113.4351,3181
1114.2239,3145
1115.0126,3155
1115.8010,3158
1116.5895,3184
1117.3777,3183
1118.1658,3219
1118.9537,3171
1119.7416,3152
1120.5293,3193
1121.3168,3201
1122.1041,3219
1122.8914,3211
1123.6785,3183
1124.4655,3208
1125.2522,3211
1126.0389,3238
1126.8254,3202
1127.6118,3217
1128.3979,3235
1129.1841,3200
1129.9700,3247
1130.7559,3238
1131.5415,3233
1132.3269,3234
1133.1123,3282
1133.8976,3249
